"YEAR","PUNISH_QUYU","POWER_ID","POWER_COUNT","POWER_CODE","POWER_NAME","RANK_COUNT","COUNTIN"
2016.0,"市级","8a0b373e-7df9-45d9-a944-4bfe279d87e2",11.0,"11440300MB2C94128A020202","对违反捕捞许可证关于场所的规定进行捕捞的处罚",1.0,1.0
2016.0,"市级","c3ea8fa4-3f37-46d2-b99b-f14c3f79ac32",10.0,"11440300MB2C94128A020204","对违反捕捞许可证关于作业类型、时限的规定进行捕捞政处罚",2.0,1.0
2016.0,"市级","1ace25ab-a19b-4339-876a-59f62e3f229e",8.0,"11440300MB2C94128A020269","对未依法取得捕捞许可证擅自进行捕捞的行政处罚",3.0,1.0
2016.0,"市级","76af49a4-19a0-4e89-8dd1-0fb9a51208d7",7.0,"11440300MB2C94128A020346","对未经批准或者不按批准的范围、方式开采海砂的处罚",4.0,1.0
2016.0,"市级","c6a2e693-2618-4003-acc6-417087c8ef51",3.0,"11440300MB2C94128A020224","对船舶无有效船名、船号、证书的处罚",5.0,1.0
2016.0,"市级","43289b46-be14-4a73-bf31-a3835cf3dadf",3.0,"11440300MB2C94128A020347","对未取得海洋倾倒许可证，向海洋倾倒废弃物的处罚",5.0,1.0
2016.0,"市级","0da9ae4b-f8fe-4c01-8e84-bec2b4c53db1",2.0,"11440300MB2C94128A020183","对不按照许可证的规定倾倒，或者向已经封闭的倾倒区倾倒废弃物的处罚",7.0,1.0
2016.0,"市级","a00c36b2-c09c-4f9a-b72d-3a0a1de26188",2.0,"11440300MB2C94128A020208","对违反关于禁渔区的规定进行捕捞的处罚",7.0,1.0
2016.0,"市级","194cc53c-2c09-4f37-a7ce-91bc5090dc61",2.0,"11440300MB2C94128A020288","对在渔港内的航道、港池、锚地和停泊区从事有碍海上交通安全的捕捞、养殖等生产活动的处罚",7.0,1.0
2016.0,"市级","23a4a664-763a-4b27-96bf-0d7f8cd783ad",1.0,"11440300MB2C94128A020217","对超过限定的改正时限仍未按规定配备救生或消防设备的处罚",10.0,1.0
2016.0,"市级","0a942b8e-e680-485b-9235-08ee06910fd2",1.0,"11440300MB2C94128A020211","对未按规定配齐船员的处罚",10.0,1.0
2016.0,"市级","d96548d1-c149-4707-891e-2a409ae31012",1.0,"11440300MB2C94128A020223","对船舶未配备职务船员的处罚",10.0,1.0
2016.0,"市级","4db526fb-07f1-4796-95bb-1abfe38fd313",1.0,"11440300MB2C94128A020213","对未办理进出渔港签证的，或者在渔港内不服从渔政渔港监督管理机关对水域交通安全秩序管理的处罚",10.0,1.0
2017.0,"宝安区","d62d2538-5ee1-4529-b419-aee96371e531",6.0,"1144030600755054XN020050","对施工单位在施工工地未设置硬质围挡，或者未采取覆盖、分段作业、择时施工、洒水抑尘、冲洗地面和车辆等有效防尘降尘措施；建筑土方、工程渣土、建筑垃圾未及时清运，或者未采用密闭式防尘网遮盖的行政处罚",1.0,1.0
2017.0,"宝安区","bddeb64d-7d24-4333-8e5c-d7be52b3006b",6.0,"1144030600755054XN020007","对建设单位未取得施工许可证或开工报告未经批准擅自施工或为规避办理施工许可证，将工程项目分解后擅自施工的行政处罚",1.0,1.0
2017.0,"宝安区","da92c7f2-e638-4537-93e3-3002f5ac0fc0",4.0,"1144030600755054XN020135","对施工单位未按照施工图中的建筑节能设计要求和建筑节能施工施工规范进行施工",3.0,1.0
2017.0,"宝安区","5efc66f5-ffe5-4957-8a08-dae3918c0d57",2.0,"1144030600755054XN020137","对施工单位未经监理工程师检查签字认可即进入下一道工序施工",4.0,1.0
2017.0,"宝安区","a9844dae-0548-4ab5-9abf-9650c26eba47",2.0,"1144030600755054XN020134","对施工单位隐瞒有关真实情况或者提供虚假材料申请建筑业企业施工单位资质的行政处罚",4.0,1.0
2017.0,"宝安区","2954b7b9-a540-453b-b707-5c311507e7e9",1.0,"1144030600755054XN020136","注册监理工程师未履行义务",6.0,1.0
2017.0,"宝安区","ecbdb76d-1118-4ab5-b774-bfd90f5a4a0d",1.0,"1144030600755054XN020250","对施工单位的主要负责人、项目负责人违反规定未履行安全生产管理职责的行政处罚",6.0,1.0
2017.0,"宝安区","e68caf21-5d6d-48bd-9ebb-377514d9f81c",1.0,"1144030600755054XN020138","对施工单位未取得施工许可证擅自施工；恶意拖欠分包企业工程款或劳务人员工资；按国家法律、法规和标准规定需要持证上岗的现场管理人员和技术工种作业人员未取得证书上岗的行政处罚",6.0,1.0
2017.0,"宝安区","caa5642f-e732-4489-bd35-b8ab8779adde",1.0,"114403065670645156020031","对未取得建设工程规划许可证；未按建设工程规划许可证的规定进行建设的行政处罚",6.0,1.0
2017.0,"大鹏新区","24c118ca-32b8-4d09-b676-eb0d2c32b931",1.0,"11440300MB2C93125R020121","对排污者未按照排污许可证的规定排放污染物的处罚",1.0,1.0
2017.0,"大鹏新区","e2447c81-c9d3-4515-aba1-1ed0ae85e371",1.0,"11440300051516031D020387","施工单位未对建筑材料、建筑构配件、设备和商品混凝土进行检验；未对涉及结构安全的试块、试件以及有关材料取样检测；明示或暗示检测机构出具虚假检测报告，篡改或伪造检测报告的；弄虚作假送检试样的行政处罚",1.0,1.0
2017.0,"福田区","dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",11.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",1.0,1.0
2017.0,"福田区","57640b7d-0c4b-42e3-b1c2-cb1fc5c87bed",4.0,"11440300MB2C93125R020236","对向周围环境排放工业噪声超过规定排放标准或者技术规范限值的处罚",2.0,1.0
2017.0,"福田区","a3c48395-161b-4237-bb75-6776f4c788f9",2.0,"11440300MB2C93125R020043","对建设单位未依法报批建设项目环境影响报告书、报告表或者未依法重新报批或者报请重新审核环境影响报告书、报告表而擅自开工建设的的处罚",3.0,1.0
2017.0,"福田区","3fc26c30-ad3e-4a58-8f85-8594b9c4a0ea",2.0,"11440300MB2C93125R020128","对建设单位未按照建设项目环境影响报告书、报告表、审批部门审批决定的要求配套建设环境保护设施的处罚",3.0,1.0
2017.0,"福田区","e12c9af7-1721-456a-ac3d-70241f25c862",1.0,"11440300MB2C93125R020211","对建设单位未依法备案建设项目环境影响登记表的处罚",5.0,1.0
2017.0,"福田区","fcad60df-cad3-4675-b591-a20db4de1c19",1.0,"11440300MB2C93125R020048","对经营中的文化娱乐场所边界噪声超过国家规定的环境噪声排放标准或者在商业经营活动中使用空调器、冷却塔等可能产生环境噪声污染的设备、设施的经营管理者其边界噪声超过国家规定的环境噪声排放标准而造成环境噪声污染的处罚",5.0,1.0
2017.0,"福田区","51eeb45d-789a-4c5c-bf74-beba4f18b9f1",1.0,"114403045747534156020006","对用人单位支付员工工资低于最低工资、克扣或者无故拖欠员工工资、以实物等非货币形式支付员工工资，经责令改正逾期未改正的违法行为的处罚",5.0,1.0
2017.0,"福田区","dcd00f05-6a17-48e8-b31f-1a84ec555fdd",1.0,"11440304007542822U020021","对供应商在政府采购活动中违法行为的处罚",5.0,1.0
2017.0,"福田区","8c30c7bb-9251-4c0e-8b64-4446996c744d",1.0,"11440304MB2D11725U020050","对未按照工程规划许可证的规定进行建设的行政处罚；对未取得工程规划许可证的行政处罚",5.0,1.0
2017.0,"福田区","cfb92fff-a686-4a00-b75b-6103b0d880b2",1.0,"11440300MB2C93125R020142","对工业企业未按规定对污染物的排放情况定期进行环境监测或者未向环保部门报告监测情况的处罚",5.0,1.0
2017.0,"福田区","cd4adbe9-ec82-45ee-b217-9018dc8c7ad8",1.0,"11440300MB2C93125R020001","对排放油烟的餐饮服务业经营者未安装油烟净化设施、不正常使用油烟净化设施或未采取其他油烟净化措施，超标排放油烟的处罚",5.0,1.0
2017.0,"光明区","9fad6652-223f-49f9-ac1a-6decd038ea35",1.0,"11440300693991870Q020431","对施工单位未向施工现场管理人员和作业人员进行方案交底和安全技术交底；项目专职安全生产管理人员未对专项施工方案实施情况进行现场监督的行政处罚",1.0,1.0
2017.0,"光明区","1eb4b211-c2a3-4481-ab6b-dbb300e5f5a9",1.0,"11440300MB2D28690E020003","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",1.0,1.0
2017.0,"光明区","5776f472-deaf-4860-9b9d-abd1d3543944",1.0,"11440300MB2D28690E020002","对用人单位支付员工工资低于最低工资、克扣或者无故拖欠员工工资、以实物等非货币形式支付员工工资，经责令改正逾期未改正的违法行为的处罚",1.0,1.0
2017.0,"龙岗区","b8f05563-b2f0-458d-81fd-b160436828b7",15.0,"1144030700755150X8020005","对供应商在政府采购活动中违法行为的处罚",1.0,1.0
2017.0,"龙岗区","5bc11b15-c568-43ea-88e3-20040e28af39",8.0,"1144030700755177XT020234","对施工单位在施工中偷工减料，使用不合格的建筑材料、建筑构配件和设备，或有其他不按照工程设计图纸或施工技术标准、民用建筑节能强制性标准施工的行政处罚",2.0,1.0
2017.0,"龙岗区","ae26671c-1639-4843-b130-78795ca95864",2.0,"11440307MB2D2805X7020454","未取得水土保持方案许可擅自开工的行为处罚。",3.0,1.0
2017.0,"龙岗区","9d0b42bd-988d-4eef-b063-d1bf19b0b0ba",1.0,"1144030700755177XT020275","对施工生产经营单位未依规定制定生产安全事故应急救援预案或未定期组织演练；特种作业人员未按照规定经专门的安全作业培训并取得相应资格，上岗作业的行政处罚",4.0,1.0
2017.0,"龙岗区","dbc9c763-0790-4f7e-9dde-d203c3cf7ec1",1.0,"11440307MB2D2805X7020445","未取得排水许可证擅自向市政设施排水的行为处罚",4.0,1.0
2017.0,"龙岗区","629d4ef4-3617-4e6e-be0e-a763b1ac0dff",1.0,"11440307MB2D2805X7020450","对在河道管理范围内，不得从事其他破坏河道水环境或者防洪安全的活动",4.0,1.0
2017.0,"龙华区","b0d5094b-3165-4a88-b314-d15470c49cb1",5.0,"11440309MB2D27890L020247","未采取有效措施，造成水土流失",1.0,1.0
2017.0,"龙华区","06e4f8ef-ecca-4095-90d1-8c8455bfbea9",4.0,"11440309MB2D27890L020243","未取得污水排入排水管网许可证向城镇排水设施排放污水",2.0,1.0
2017.0,"龙华区","91e5736a-423c-4103-9567-9a42d5fe7b38",2.0,"11440309MB2D27890L020244","未申报水土保持方案擅自动工",3.0,1.0
2017.0,"龙华区","c19d76eb-a60b-4166-99b8-0b01779d2610",2.0,"11440309MB2D27890L020246","不具备排水条件，强行向道路、公共绿地和其他公共场所排水",3.0,1.0
2017.0,"龙华区","b7567073-8db9-48c5-9b0a-513dc056496f",2.0,"11440309MB2D27890L020242","未取得取水许可证，私采地下水",3.0,1.0
2017.0,"龙华区","dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",1.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",6.0,1.0
2017.0,"龙华区","3fc26c30-ad3e-4a58-8f85-8594b9c4a0ea",1.0,"11440300MB2C93125R020128","对建设单位未按照建设项目环境影响报告书、报告表、审批部门审批决定的要求配套建设环境保护设施的处罚",6.0,1.0
2017.0,"龙华区","58f8fd0c-4e2b-4ba4-ba89-e9bf9c5938c1",1.0,"11440309MB2D27890L020064","对排水户未取得污水排入排水管网许可证向城镇排水设施排放污水；不按污水排入排水管网许可证的要求排放污水的行政处罚",6.0,1.0
2017.0,"龙华区","0448b0b6-a812-43eb-8e44-03d71e0d299d",1.0,"11440309MB2D27241G020200","对违反《广播电视广告播出管理办法》第十五条、第十六条、第十七条的规定，以及违反《广播电视广告播出管理办法》第二十二条规定插播广告行为的处罚",6.0,1.0
2017.0,"龙华区","90ead521-6836-467c-9c22-7d5cf18e8434",1.0,"11440309MB2D27890L020245","未落实水土保持措施",6.0,1.0
2017.0,"罗湖区","18706d09-ec2e-4775-8692-0edb7021f0c5",11.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",1.0,1.0
2017.0,"罗湖区","4385b107-18c2-4e1b-848e-1613cf3616a7",2.0,"11440300007541512Q020007","对未按排水许可证的要求，向城镇排水设施排放污水的行政处罚",2.0,1.0
2017.0,"罗湖区","9066c954-dc05-4b29-91b8-a935ae692ccd",2.0,"11440300007541512Q020469","对自建排水设施维护单位未加强红线范围内排水设施的日常维护管理，定期对相关的污水预处理设施进行清疏，并监督红线范围内排水单位和个人的管网接驳行为的处罚",2.0,1.0
2017.0,"罗湖区","f865b371-3c8c-40a2-a705-f67c6577bbda",1.0,"11440303MB2D24091X020013","对擅自向排水设施排水，未按照排水许可证要求排水，不具备排水条件而强行向道路、公共绿地和其他公共场所排水的处罚",4.0,1.0
2017.0,"罗湖区","809e175d-1bdf-4284-b796-c3c6a7e3c4e4",1.0,"114403035731270177020062","对用人单位支付员工工资低于最低工资、克扣或者无故拖欠员工工资、以实物等非货币形式支付员工工资，经责令改正逾期未改正的违法行为的处罚",4.0,1.0
2017.0,"罗湖区","4e2f3100-3d96-444b-a742-a838607abeda",1.0,"11440300007541512Q020471","对从事餐饮、美容美发、洗车、汽车修理、加油站等经营项目以及建设项目施工的排水单位和个人，未按照国家技术规范建设相应的隔油池、毛发收集池、沉砂池等污水预处理设施，并定期清疏，保障预处理设施正常运行的处罚",4.0,1.0
2017.0,"罗湖区","9d5f0427-ea38-499d-9bd2-2686b85ef70e",1.0,"114403035731270177020057","对用人单位有下列行为之一的处罚：（一）无理抗拒、阻挠实施劳动保障监察的；（二）不按照报送书面材料，隐瞒事实真相，出具伪证或者隐匿、毁灭证据的；（三）经责令改正拒不改正，或拒不履行行政处理决定的；（四）打击报复投诉人的",4.0,1.0
2017.0,"南山区","075741dc-4464-4a00-b577-a2ba789fdf7a",6.0,"114403050075449597020099","用人单位克扣员工工资",1.0,1.0
